Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2018-09-26,Third round,Home,W 2 (4)–2 (2),Tottenham,Watford,N,,57,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0
2018-10-31,Fourth round,Away,W 3–1,Tottenham,West Ham,Y,AM,90,2,0,0,0,3,3,0,0,0,2,1,2,0,0,0,0,0
2018-12-19,Quarter-finals,Away,W 2–0,Tottenham,Arsenal,Y,FW,78,1,0,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0
2019-01-08,Semi-finals,Home,W 1–0,Tottenham,Chelsea,Y,FW,78,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
