Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2019-01-08,EFL Cup,Semi-finals,Home,W 1–0,Tottenham,Chelsea,Y,FW,78,0,0,0,0,0,0,0,0,,,,1,,,,,,,,,,,,,,
2019-01-13,Premier League,Matchweek 22,Home,L 0–1,Tottenham,Manchester Utd,Y,LMFW,90,0,0,0,0,2,1,0,0,41,18,0,0,1,0.1,0.1,0.3,5,0,31,35,88.6,74,40,211,2,3
2019-01-30,Premier League,Matchweek 24,Home,W 2–1,Tottenham,Watford,Y,FWRW,90,1,0,0,0,6,2,0,0,53,15,0,1,2,0.3,0.3,0.0,3,0,21,30,70.0,64,45,159,4,9
2019-02-02,Premier League,Matchweek 25,Home,W 1–0,Tottenham,Newcastle Utd,Y,LWFW,88,1,0,0,0,5,1,0,0,62,19,1,0,1,0.1,0.1,0.3,4,1,40,46,87.0,82,61,163,7,12
2019-02-10,Premier League,Matchweek 26,Home,W 3–1,Tottenham,Leicester City,Y,FW,90,1,0,0,0,4,1,1,0,37,25,0,0,1,0.5,0.5,0.1,3,0,20,24,83.3,36,34,204,1,3
2019-02-13,Champions Lg,Round of 16,Home,W 3–0,Tottenham,Dortmund,Y,FW,89,1,0,0,0,3,2,0,0,30,21,1,0,0,0.5,0.5,0.0,4,0,18,21,85.7,61,28,38,0,2
2019-02-23,Premier League,Matchweek 27,Away,L 1–2,Tottenham,Burnley,Y,FWLW,87,0,0,0,0,1,0,0,0,37,14,0,0,0,0.0,0.0,0.1,3,0,23,27,85.2,50,39,167,3,5
2019-02-27,Premier League,Matchweek 28,Away,L 0–2,Tottenham,Chelsea,Y,LWLM,79,0,0,0,0,1,0,0,0,50,19,1,0,3,0.0,0.0,0.0,0,0,28,33,84.8,45,44,147,2,3
2019-03-02,Premier League,Matchweek 29,Home,D 1–1,Tottenham,Arsenal,Y,FW,78,0,0,0,0,1,0,0,0,27,14,0,2,1,0.0,0.0,0.0,0,0,18,21,85.7,49,21,64,1,1
2019-03-05,Champions Lg,Round of 16,Away,W 1–0,Tottenham,Dortmund,Y,FW,70,0,0,0,0,2,0,0,0,38,56,3,2,3,0.4,0.4,0.0,1,0,24,25,96.0,87,30,150,1,1
2019-03-09,Premier League,Matchweek 30,Away,L 1–2,Tottenham,Southampton,N,FWAM,19,0,0,0,0,0,0,0,0,13,4,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,17,9,2,0,0
2019-03-31,Premier League,Matchweek 32,Away,L 1–2,Tottenham,Liverpool,N,FWCB,22,0,0,0,0,0,0,0,0,7,4,0,0,0,0.0,0.0,0.4,2,0,6,6,100.0,17,5,35,0,0
2019-04-03,Premier League,Matchweek 31,Home,W 2–0,Tottenham,Crystal Palace,Y,AMLW,89,1,0,0,0,4,3,0,0,45,33,0,1,1,0.1,0.1,0.2,2,0,28,32,87.5,116,42,189,5,8
2019-04-09,Champions Lg,Quarter-finals,Home,W 1–0,Tottenham,Manchester City,Y,LWRW,90,1,0,0,0,4,2,0,0,30,26,2,1,1,0.2,0.2,0.0,2,1,16,18,88.9,83,26,109,1,2
2019-04-13,Premier League,Matchweek 34,Home,W 4–0,Tottenham,Huddersfield,N,FW,4,0,1,0,0,0,0,0,0,2,4,0,0,0,0.0,0.0,0.1,1,1,2,2,100.0,27,2,26,0,0
2019-04-17,Champions Lg,Quarter-finals,Away,L 3–4,Tottenham,Manchester City,Y,LWFWRM,90,2,0,0,0,5,3,1,0,35,23,3,0,3,0.6,0.6,0.1,2,1,15,20,75.0,38,28,168,0,0
2019-04-20,Premier League,Matchweek 35,Away,L 0–1,Tottenham,Manchester City,Y,FW,90,0,0,0,0,3,2,0,0,19,24,0,1,0,0.6,0.6,0.0,4,0,12,13,92.3,17,17,111,4,5
2019-04-23,Premier League,Matchweek 33,Home,W 1–0,Tottenham,Brighton,Y,RWLWCM,89,0,0,0,0,4,0,0,0,59,13,0,0,3,0.2,0.2,0.1,7,0,35,42,83.3,77,52,184,2,4
2019-04-27,Premier League,Matchweek 36,Home,L 0–1,Tottenham,West Ham,Y,FWAM,90,0,0,0,0,4,1,0,0,52,7,1,1,1,0.3,0.3,0.0,1,0,28,31,90.3,90,43,180,1,5
2019-05-04,Premier League,Matchweek 37,Away,L 0–1,Tottenham,Bournemouth,Y,LW,42,0,0,0,0,1,0,0,1,37,6,0,1,2,0.1,0.1,0.0,1,0,20,25,80.0,104,29,135,1,4
2019-05-08,Champions Lg,Semi-finals,Away,W 3–2,Tottenham,Ajax,Y,LW,90,0,0,0,0,6,1,0,0,47,20,0,1,0,0.3,0.3,0.0,9,0,26,29,89.7,60,52,235,10,13
2019-06-01,Champions Lg,Final,Home,L 0–2,Tottenham,Liverpool,Y,LWFWLM,90,0,0,0,0,3,3,0,0,48,10,1,0,2,0.1,0.1,0.1,4,0,18,26,69.2,38,29,229,1,4
