Start,Gls,Sh,SoT,Home_1_Away_0,xG,SCA,GCA,Elo_Diff
0,0,2.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,133
0,0,2.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-152
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-95
0,0,3.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,105
0,0,4.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-33
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,130
0,0,2.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,198
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,74
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,167
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,77
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,68
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,185
0,0,2.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,120
0,0,2.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,196
0,0,1.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,160
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-45
0,0,1.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,193
0,0,1.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,146
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,8
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,278
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,165
0,0,3.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,46
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,31
0,0,2.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,131
0,0,0.0,0.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,198
0,0,0.0,0.0,0.0,0.29225352112676056,2.73943661971831,0.5070422535211268,226
1,0,2.0,1.0,0.5053191489361702,0.29225352112676056,2.73943661971831,0.5070422535211268,67
0,0,7.0,2.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,170
0,0,4.0,1.0,1.0,0.29225352112676056,2.73943661971831,0.5070422535211268,-67
