Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2017-01-08,Third round,Home,W 2–0,Tottenham,Aston Villa,Y,,90,1,0,0,0,,,0,0,,,,,,,0,,
2017-01-28,Fourth round,Home,W 4–3,Tottenham,Wycombe,Y,,90,2,0,0,0,,,0,0,,,,,,,0,,
2017-02-19,Fifth round,Away,W 3–0,Tottenham,Fulham,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2017-03-12,Quarter-finals,Home,W 6–0,Tottenham,Millwall,Y,,90,3,1,0,0,,,0,0,,,,,,,0,,
2017-04-22,Semi-finals,Away,L 2–4,Tottenham,Chelsea,Y,,67,0,0,0,0,,,0,0,,,,,,,0,,
