Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2017-02-16,Round of 32,Away,L 0–1,Tottenham,Gent,N,,22,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2017-02-23,Round of 32,Home,D 2–2,Tottenham,Gent,N,,32,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0
