Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2013-08-10,Bundesliga,Matchweek 1,Home,W 3–1,Leverkusen,Freiburg,Y,,70,1,,0,,,,0,0,,,,,,,0,,
2013-08-17,Bundesliga,Matchweek 2,Away,W 1–0,Leverkusen,Stuttgart,Y,,71,0,,0,,,,0,0,,,,,,,0,,
2013-08-24,Bundesliga,Matchweek 3,Home,W 4–2,Leverkusen,M'Gladbach,Y,,88,0,,0,,,,0,0,,,,,,,0,,
2013-08-31,Bundesliga,Matchweek 4,Away,L 0–2,Leverkusen,Schalke 04,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2013-09-14,Bundesliga,Matchweek 5,Home,W 3–1,Leverkusen,Wolfsburg,Y,,81,0,,0,,,,0,0,,,,,,,0,,
2013-09-17,Champions Lg,Group stage,Away,L 2–4,Leverkusen,Manchester Utd,Y,,64,0,,0,,,,1,0,,,,,,,0,,
2013-09-28,Bundesliga,Matchweek 7,Home,W 2–0,Leverkusen,Hannover 96,Y,,83,0,,0,,,,0,0,,,,,,,0,,
2013-10-02,Champions Lg,Group stage,Home,W 2–1,Leverkusen,Real Sociedad,Y,,68,0,,0,,,,0,0,,,,,,,0,,
2013-10-05,Bundesliga,Matchweek 8,Home,D 1–1,Leverkusen,Bayern Munich,N,,22,0,,0,,,,0,0,,,,,,,0,,
2013-10-23,Champions Lg,Group stage,Home,W 4–0,Leverkusen,Shakhtar,Y,,71,0,,0,,,,0,0,,,,,,,0,,
2013-10-26,Bundesliga,Matchweek 10,Home,W 2–1,Leverkusen,Augsburg,Y,,69,0,,0,,,,0,0,,,,,,,0,,
2013-11-05,Champions Lg,Group stage,Away,D 0–0,Leverkusen,Shakhtar,Y,,77,0,,0,,,,0,0,,,,,,,0,,
2013-11-09,Bundesliga,Matchweek 12,Home,W 5–3,Leverkusen,Hamburger SV,Y,,90,3,,0,,,,0,0,,,,,,,0,,
2013-11-23,Bundesliga,Matchweek 13,Away,W 1–0,Leverkusen,Hertha BSC,Y,,72,0,,0,,,,0,0,,,,,,,0,,
2013-11-27,Champions Lg,Group stage,Home,L 0–5,Leverkusen,Manchester Utd,Y,,70,0,,0,,,,0,0,,,,,,,0,,
2013-11-30,Bundesliga,Matchweek 14,Home,W 3–0,Leverkusen,Nürnberg,Y,,78,2,,0,,,,0,0,,,,,,,0,,
2013-12-07,Bundesliga,Matchweek 15,Away,W 1–0,Leverkusen,Dortmund,Y,,82,1,,0,,,,0,0,,,,,,,0,,
2013-12-10,Champions Lg,Group stage,Away,W 1–0,Leverkusen,Real Sociedad,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2013-12-15,Bundesliga,Matchweek 16,Home,L 0–1,Leverkusen,Eint Frankfurt,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2013-12-21,Bundesliga,Matchweek 17,Away,L 0–1,Leverkusen,Werder Bremen,Y,,66,0,,0,,,,0,0,,,,,,,0,,
2014-01-25,Bundesliga,Matchweek 18,Away,L 2–3,Leverkusen,Freiburg,Y,,83,0,,0,,,,0,0,,,,,,,0,,
2014-02-01,Bundesliga,Matchweek 19,Home,W 2–1,Leverkusen,Stuttgart,Y,,75,0,,0,,,,0,0,,,,,,,0,,
2014-02-07,Bundesliga,Matchweek 20,Away,W 1–0,Leverkusen,M'Gladbach,Y,,81,1,,0,,,,0,0,,,,,,,0,,
2014-02-15,Bundesliga,Matchweek 21,Home,L 1–2,Leverkusen,Schalke 04,Y,,82,0,,0,,,,0,0,,,,,,,0,,
2014-02-18,Champions Lg,Round of 16,Home,L 0–4,Leverkusen,Paris S-G,Y,,46,0,,0,,,,0,0,,,,,,,0,,
2014-02-22,Bundesliga,Matchweek 22,Away,L 1–3,Leverkusen,Wolfsburg,N,,29,0,,0,,,,0,0,,,,,,,0,,
2014-03-01,Bundesliga,Matchweek 23,Home,L 0–1,Leverkusen,Mainz 05,Y,,90,0,,0,,,,1,0,,,,,,,0,,
2014-03-08,Bundesliga,Matchweek 24,Away,D 1–1,Leverkusen,Hannover 96,Y,,69,0,,0,,,,0,0,,,,,,,0,,
2014-03-12,Champions Lg,Round of 16,Away,L 1–2,Leverkusen,Paris S-G,N,,23,0,,0,,,,0,0,,,,,,,0,,
2014-03-15,Bundesliga,Matchweek 25,Away,L 1–2,Leverkusen,Bayern Munich,Y,,66,0,,0,,,,0,0,,,,,,,0,,
2014-03-23,Bundesliga,Matchweek 26,Home,L 2–3,Leverkusen,Hoffenheim,Y,,71,0,,0,,,,0,0,,,,,,,0,,
2014-03-26,Bundesliga,Matchweek 27,Away,W 3–1,Leverkusen,Augsburg,Y,,85,1,,0,,,,0,0,,,,,,,0,,
2014-03-29,Bundesliga,Matchweek 28,Home,D 1–1,Leverkusen,Braunschweig,Y,,75,0,,0,,,,0,0,,,,,,,0,,
2014-04-04,Bundesliga,Matchweek 29,Away,L 1–2,Leverkusen,Hamburger SV,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2014-04-13,Bundesliga,Matchweek 30,Home,W 2–1,Leverkusen,Hertha BSC,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2014-04-20,Bundesliga,Matchweek 31,Away,W 4–1,Leverkusen,Nürnberg,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2014-04-26,Bundesliga,Matchweek 32,Home,D 2–2,Leverkusen,Dortmund,Y,,90,0,,0,,,,0,0,,,,,,,0,,
2014-05-03,Bundesliga,Matchweek 33,Away,W 2–0,Leverkusen,Eint Frankfurt,Y,,78,0,,0,,,,0,0,,,,,,,0,,
2014-05-10,Bundesliga,Matchweek 34,Home,W 2–1,Leverkusen,Werder Bremen,Y,,90,1,,0,,,,0,0,,,,,,,0,,
