Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
2017-01-31,23,Away,D 0–0,Tottenham,Sunderland,1,AM,73.0,0,0,0,0,1,0,0,0,1,1,2,4,0,0,0,0,0,D,1,0,0,0,,,,,,,,,,,,,,,,,
2017-02-04,24,Home,W 1–0,Tottenham,Middlesbrough,1,AM,81.0,0,0,0,0,3,1,0,0,0,3,1,6,1,0,0,1,0,W,3,1,0,1,,,,,,,,,,,,,,,,,
2017-02-11,25,Away,L 0–2,Tottenham,Liverpool,1,AM,82.0,0,0,0,0,2,2,1,0,0,1,0,1,1,1,0,0,0,L,0,0,2,0,,,,,,,,,,,,,,,,,
2017-02-26,26,Home,W 4–0,Tottenham,Stoke City,0,,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,3,4,0,1,,,,,,,,,,,,,,,,,
2017-03-19,29,Home,W 2–1,Tottenham,Southampton,1,FW,75.0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,W,3,2,1,1,,,,,,,,,,,,,,,,,
2017-04-01,30,Away,W 2–0,Tottenham,Burnley,0,,17.0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,W,3,2,0,0,,,,,,,,,,,,,,,,,
2017-04-05,31,Away,W 3–1,Tottenham,Swansea City,1,FW,90.0,1,0,0,0,5,2,0,0,0,0,2,1,0,0,0,0,0,W,3,3,1,0,,,,,,,,,,,,,,,,,
2017-04-08,32,Home,W 4–0,Tottenham,Watford,1,AM,88.0,2,1,0,0,6,2,0,0,1,2,0,2,1,0,0,0,0,W,3,4,0,1,,,,,,,,,,,,,,,,,
2017-04-15,33,Home,W 4–0,Tottenham,Bournemouth,1,AM,90.0,1,0,0,0,5,3,0,0,0,0,1,3,0,0,0,0,0,W,3,4,0,1,,,,,,,,,,,,,,,,,
2017-04-26,28,Away,W 1–0,Tottenham,Crystal Palace,0,,45.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,W,3,1,0,0,,,,,,,,,,,,,,,,,
2017-04-30,35,Home,W 2–0,Tottenham,Arsenal,1,AM,79.0,0,0,0,0,3,0,0,0,0,1,1,0,3,0,0,0,0,W,3,2,0,1,,,,,,,,,,,,,,,,,
2017-05-05,36,Away,L 0–1,Tottenham,West Ham,1,AM,90.0,0,0,0,0,1,1,0,0,0,1,0,1,3,1,0,0,0,L,0,0,1,0,,,,,,,,,,,,,,,,,
2017-05-14,37,Home,W 2–1,Tottenham,Manchester Utd,1,AM,72.0,0,0,0,0,4,2,0,0,0,2,0,0,0,1,0,0,0,W,3,2,1,1,,,,,,,,,,,,,,,,,
2017-05-18,34,Away,W 6–1,Tottenham,Leicester City,1,AM,78.0,2,1,0,0,5,2,0,0,0,1,1,1,0,1,0,0,0,W,3,6,1,0,,,,,,,,,,,,,,,,,
2017-05-21,38,Away,W 7–1,Tottenham,Hull City,1,AM,90.0,0,1,0,0,2,2,0,0,0,1,0,2,1,1,0,0,0,W,3,7,1,0,,,,,,,,,,,,,,,,,
2017-08-13,1,Away,W 2–0,Tottenham,Newcastle Utd,0,RW,32,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,2,0,0,27,7,0,0,0.0,0.0,0.0,2,0,23,25,92.0,98,16,47,0,1
2017-08-20,2,Home,L 1–2,Tottenham,Chelsea,0,AM,22,0,0,0,0,0,0,0,0,,,,,,0,,,,L,0,1,2,1,16,5,2,0,0.0,0.0,0.0,0,0,10,13,76.9,6,9,2,0,1
2017-08-27,3,Home,D 1–1,Tottenham,Burnley,1,RW,70,0,0,0,0,1,0,0,0,,,,,,0,,,,D,1,1,1,1,44,11,0,1,0.0,0.0,0.2,3,0,30,36,83.3,93,32,94,0,2
2017-09-09,4,Away,W 3–0,Tottenham,Everton,0,FW,5,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,3,0,0,5,3,0,0,0.0,0.0,0.0,1,0,4,4,100.0,7,4,9,0,0
2017-09-16,5,Home,D 0–0,Tottenham,Swansea City,1,WB,74,0,0,0,0,6,3,0,0,,,,,,0,,,,D,1,0,0,1,58,5,2,1,0.5,0.5,0.2,8,0,38,42,90.5,93,42,83,0,3
2017-09-23,6,Away,W 3–2,Tottenham,West Ham,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,,,,,,On m,,,,W,3,3,2,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2017-09-30,7,Away,W 4–0,Tottenham,Huddersfield,0,FW,3,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,4,0,0,1,4,0,0,0.0,0.0,0.0,1,1,1,1,100.0,19,1,17,0,0
2017-10-14,8,Home,W 1–0,Tottenham,Bournemouth,1,AM,75,0,0,0,0,1,0,0,0,,,,,,0,,,,W,3,1,0,1,40,17,3,1,0.0,0.0,0.1,2,1,24,26,92.3,47,30,80,2,3
2017-10-22,9,Home,W 4–1,Tottenham,Liverpool,1,FW,69,1,0,0,0,3,2,0,0,,,,,,0,,,,W,3,4,1,1,21,23,0,2,0.7,0.7,0.0,0,0,11,15,73.3,45,13,118,0,1
2017-10-28,10,Away,L 0–1,Tottenham,Manchester Utd,1,FW,62,0,0,0,0,1,0,0,0,,,,,,0,,,,L,0,0,1,0,27,7,1,1,0.0,0.0,0.0,3,0,16,19,84.2,17,22,93,0,0
2017-11-05,11,Home,W 1–0,Tottenham,Crystal Palace,1,FW,90,1,0,0,0,2,1,0,0,,,,,,0,,,,W,3,1,0,1,42,18,2,1,0.3,0.3,0.0,1,0,20,27,74.1,55,32,169,2,3
2017-11-18,12,Away,L 0–2,Tottenham,Arsenal,0,FW,15,0,0,0,0,2,0,0,0,,,,,,0,,,,L,0,0,2,0,9,3,0,0,0.3,0.3,0.0,0,0,4,6,66.7,0,8,20,0,0
2017-11-25,13,Home,D 1–1,Tottenham,West Brom,1,FW,90,0,0,0,0,4,1,0,0,,,,,,0,,,,D,1,1,1,1,77,13,0,0,0.1,0.1,0.1,4,0,49,62,79.0,101,79,319,5,6
2017-11-28,14,Away,L 1–2,Tottenham,Leicester City,0,AMDM,33,0,0,0,0,0,0,0,0,,,,,,0,,,,L,0,1,2,0,23,7,0,0,0.0,0.0,0.1,2,1,18,22,81.8,85,26,66,3,4
2017-12-02,15,Away,D 1–1,Tottenham,Watford,1,LW,77,1,0,0,0,1,1,0,0,,,,,,0,,,,D,1,1,1,0,24,15,0,0,0.8,0.8,0.0,0,0,11,16,68.8,28,19,43,1,3
2017-12-09,16,Home,W 5–1,Tottenham,Stoke City,1,LW,86,1,1,0,0,4,3,0,0,,,,,,1,,,,W,3,5,1,1,51,14,0,0,0.3,0.3,1.4,8,1,29,38,76.3,131,47,450,2,2
2017-12-13,17,Home,W 2–0,Tottenham,Brighton,1,LWRW,90,1,0,0,0,4,1,0,0,,,,,,1,,,,W,3,2,0,1,53,22,0,1,0.7,0.7,0.1,2,0,36,41,87.8,127,46,106,1,1
2017-12-16,18,Away,L 1–4,Tottenham,Manchester City,1,FW,77,0,0,0,0,1,0,0,0,,,,,,0,,,,L,0,1,4,0,25,13,1,1,0.0,0.0,0.0,1,0,14,17,82.4,34,18,62,1,1
2017-12-23,19,Away,W 3–0,Tottenham,Burnley,1,LW,78,0,0,0,0,3,1,0,0,,,,,,0,,,,W,3,3,0,0,43,13,1,1,0.5,0.5,0.2,2,0,24,32,75.0,82,29,175,2,2
2017-12-26,20,Home,W 5–2,Tottenham,Southampton,1,LW,76,1,2,0,0,1,1,0,0,,,,,,0,,,,W,3,5,2,1,41,17,3,0,0.4,0.4,0.9,4,3,23,31,74.2,113,34,167,2,2
2018-01-02,22,Away,W 2–0,Tottenham,Swansea City,1,LW,90,0,0,0,0,2,0,0,0,,,,,,1,,,,W,3,2,0,0,63,19,0,0,0.1,0.1,0.0,2,1,40,48,83.3,160,56,195,2,5
2018-01-04,21,Home,D 1–1,Tottenham,West Ham,1,LWRW,90,1,0,0,0,3,2,0,0,,,,,,1,,,,D,1,1,1,1,77,14,1,1,0.2,0.2,0.0,4,0,50,62,80.6,159,77,332,9,12
2018-01-13,23,Home,W 4–0,Tottenham,Everton,1,LW,90,1,1,0,0,7,2,0,0,,,,,,0,,,,W,3,4,0,1,46,16,1,0,1.4,1.4,0.2,6,2,27,33,81.8,109,40,265,3,4
2018-01-21,24,Away,D 1–1,Tottenham,Southampton,1,LW,70,0,0,0,0,0,0,0,0,,,,,,0,,,,D,1,1,1,0,30,12,1,2,0.0,0.0,0.0,0,0,22,24,91.7,52,19,25,0,2
2018-01-31,25,Home,W 2–0,Tottenham,Manchester Utd,1,LW,80,0,0,0,0,3,1,0,0,,,,,,0,,,,W,3,2,0,1,49,10,0,5,0.3,0.3,0.1,6,0,28,35,80.0,122,39,109,0,1
2018-02-04,26,Away,D 2–2,Tottenham,Liverpool,1,FW,90,0,0,0,0,2,1,0,0,,,,,,0,,,,D,1,2,2,0,35,8,0,0,0.2,0.2,0.0,1,1,20,29,69.0,32,24,98,0,0
2018-02-10,27,Home,W 1–0,Tottenham,Arsenal,1,LW,70,0,0,0,0,2,1,0,0,,,,,,0,,,,W,3,1,0,1,52,4,0,1,0.1,0.1,0.0,3,0,28,42,66.7,48,44,270,6,10
2018-02-25,28,Away,W 1–0,Tottenham,Crystal Palace,0,CM,10,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,20,8,85,0,0
2018-03-03,29,Home,W 2–0,Tottenham,Huddersfield,1,LW,70,2,0,0,0,4,2,0,0,,,,,,0,,,,W,3,2,0,1,40,11,2,0,0.9,0.9,0.3,4,1,23,26,88.5,87,35,167,4,4
2018-03-11,30,Away,W 4–1,Tottenham,Bournemouth,1,LW,90,2,0,0,0,5,4,0,0,,,,,,1,,,,W,3,4,1,0,43,7,0,2,1.2,1.2,0.0,3,3,24,32,75.0,92,34,208,1,1
2018-04-01,32,Away,W 3–1,Tottenham,Chelsea,1,FWRW,74,0,0,0,0,3,3,0,0,,,,,,0,,,,W,3,3,1,0,38,13,0,0,0.2,0.2,0.0,3,1,24,29,82.8,88,29,68,0,1
2018-04-07,33,Away,W 2–1,Tottenham,Stoke City,1,LM,67,0,0,0,0,2,1,0,0,,,,,,0,,,,W,3,2,1,0,33,8,0,0,0.4,0.4,0.0,1,0,20,24,83.3,35,33,137,2,4
2018-04-14,34,Home,L 1–3,Tottenham,Manchester City,0,FWAM,26,0,0,0,0,1,0,0,0,,,,,,0,,,,L,0,1,3,1,18,7,0,1,0.0,0.0,0.0,0,0,12,14,85.7,23,13,41,0,0
2018-04-17,35,Away,D 1–1,Tottenham,Brighton,1,LW,90,0,1,0,0,3,2,0,0,,,,,,2,,,,D,1,1,1,0,43,9,0,1,0.2,0.2,0.5,4,2,20,26,76.9,17,34,172,2,4
2018-04-30,36,Home,W 2–0,Tottenham,Watford,1,LW,74,0,0,0,0,0,0,0,0,,,,,,1,,,,W,3,2,0,1,39,29,1,0,0.0,0.0,0.1,3,1,17,26,65.4,46,34,123,2,4
2018-05-05,37,Away,L 0–1,Tottenham,West Brom,0,AMLW,23,0,0,0,0,1,1,0,0,,,,,,0,,,,L,0,0,1,0,14,1,0,0,0.0,0.0,0.0,2,0,8,9,88.9,19,11,30,0,1
2018-05-09,31,Home,W 1–0,Tottenham,Newcastle Utd,1,LM,77,0,1,0,0,0,0,0,0,,,,,,0,,,,W,3,1,0,1,43,9,0,0,0.0,0.0,0.2,2,1,25,34,73.5,62,40,66,0,0
2018-05-13,38,Home,W 5–4,Tottenham,Leicester City,0,FW,6,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,5,4,1,4,3,0,0,0.0,0.0,0.0,0,0,3,3,100.0,4,1,0,0,0
2018-08-11,1,Away,W 2–1,Tottenham,Newcastle Utd,0,FW,11,0,0,0,0,0,0,0,0,,,,,,0,,,,W,3,2,1,0,9,7,3,0,0.0,0.0,0.0,0,0,5,6,83.3,7,6,34,0,0
2018-09-15,5,Home,L 1–2,Tottenham,Liverpool,0,RWDM,18,0,0,0,0,0,0,0,0,,,,,,0,,,,L,0,1,2,1,10,1,0,0,0.0,0.0,0.1,2,0,9,9,100.0,56,10,23,1,1
2018-09-22,6,Away,W 2–1,Tottenham,Brighton,1,LMRM,67,0,0,0,0,3,0,0,0,,,,,,0,,,,W,3,2,1,0,41,14,2,1,0.2,0.2,0.0,1,0,22,26,84.6,51,34,19,1,3
2018-09-29,7,Away,W 2–0,Tottenham,Huddersfield,1,LW,89,0,0,0,0,2,1,0,0,,,,,,0,,,,W,3,2,0,0,49,17,2,3,0.1,0.1,0.3,2,0,22,28,78.6,121,37,139,2,2
2018-10-06,8,Home,W 1–0,Tottenham,Cardiff City,1,LM,71,0,0,0,0,2,0,0,0,,,,,,0,,,,W,3,1,0,1,40,11,0,1,0.2,0.2,0.1,3,0,25,32,78.1,80,39,189,2,2
2018-10-20,9,Away,W 1–0,Tottenham,West Ham,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,,,,,,On m,,,,W,3,1,0,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2018-10-29,10,Home,L 0–1,Tottenham,Manchester City,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,,,,,,On m,,,,L,0,0,1,1,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2018-11-03,11,Away,W 3–2,Tottenham,Wolves,0,LW,52,0,1,0,0,0,0,0,0,,,,,,1,,,,W,3,3,2,0,38,11,1,2,0.0,0.0,0.2,4,2,24,30,80.0,55,35,117,2,3
2018-11-10,12,Away,W 1–0,Tottenham,Crystal Palace,0,LWLM,20,0,0,0,0,1,0,0,0,,,,,,0,,,,W,3,1,0,0,13,6,1,1,0.2,0.2,0.0,1,0,7,7,100.0,14,9,31,3,3
2018-11-24,13,Home,W 3–1,Tottenham,Chelsea,1,FWRW,77,1,0,0,0,6,3,0,0,,,,,,1,,,,W,3,3,1,1,35,26,0,0,0.9,0.9,0.1,7,2,20,25,80.0,80,32,227,3,4
2018-12-02,14,Away,L 2–4,Tottenham,Arsenal,1,FW,78,0,0,0,0,3,3,0,0,,,,,,0,,,,L,0,2,4,0,34,23,3,1,0.1,0.1,0.0,3,2,16,19,84.2,62,22,172,2,3
2018-12-05,15,Home,W 3–1,Tottenham,Southampton,1,RW,90,1,0,0,0,4,2,0,0,,,,,,0,,,,W,3,3,1,1,44,24,0,0,0.7,0.7,0.1,2,0,25,31,80.6,35,35,203,1,4
2018-12-08,16,Away,W 2–0,Tottenham,Leicester City,1,LW,73,1,1,0,0,4,1,0,0,,,,,,0,,,,W,3,2,0,0,45,26,1,1,0.1,0.1,0.4,3,1,26,35,74.3,167,34,58,1,1
2018-12-15,17,Home,W 1–0,Tottenham,Burnley,0,RWLWDM,16,0,0,0,0,1,0,0,0,,,,,,0,,,,W,3,1,0,1,7,2,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,8,20,1,3
2018-12-23,18,Away,W 6–2,Tottenham,Everton,1,FW,78,2,1,0,0,4,3,0,0,,,,,,0,,,,W,3,6,2,0,43,32,0,0,1.3,1.3,0.4,6,2,27,33,81.8,108,37,126,1,1
2018-12-26,19,Home,W 5–0,Tottenham,Bournemouth,1,LWFW,87,2,0,0,0,2,2,1,0,,,,,,2,,,,W,3,5,0,1,39,21,0,0,0.9,0.9,0.0,3,1,19,28,67.9,24,38,174,2,3
2018-12-29,20,Home,L 1–3,Tottenham,Wolves,1,FWRWLW,90,0,1,0,0,4,0,0,0,,,,,,0,,,,L,0,1,3,1,45,20,2,0,0.1,0.1,0.1,4,1,27,31,87.1,93,35,261,0,2
2019-01-01,21,Away,W 3–0,Tottenham,Cardiff City,1,FW,75,1,1,0,0,3,2,0,0,,,,,,0,,,,W,3,3,0,0,55,11,0,1,0.6,0.6,0.0,2,1,46,49,93.9,129,46,128,0,0
2019-01-13,22,Home,L 0–1,Tottenham,Manchester Utd,1,LMFW,90,0,0,0,0,2,1,0,0,,,,,,0,,,,L,0,0,1,1,41,18,0,1,0.1,0.1,0.3,5,0,31,35,88.6,74,40,211,2,3
2019-01-30,24,Home,W 2–1,Tottenham,Watford,1,FWRW,90,1,0,0,0,6,2,0,0,,,,,,1,,,,W,3,2,1,1,53,15,0,2,0.3,0.3,0.0,3,0,21,30,70.0,64,45,159,4,9
2019-02-02,25,Home,W 1–0,Tottenham,Newcastle Utd,1,LWFW,88,1,0,0,0,5,1,0,0,,,,,,0,,,,W,3,1,0,1,62,19,1,1,0.1,0.1,0.3,4,1,40,46,87.0,82,61,163,7,12
2019-02-10,26,Home,W 3–1,Tottenham,Leicester City,1,FW,90,1,0,0,0,4,1,1,0,,,,,,0,,,,W,3,3,1,1,37,25,0,1,0.5,0.5,0.1,3,0,20,24,83.3,36,34,204,1,3
