Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2020-01-05,Third round,Away,D 1–1,Tottenham,Middlesbrough,Y,FW,90,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,
2020-01-14,Third round,Home,W 2–1,Tottenham,Middlesbrough,N,,30,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,
2020-01-25,Fourth round,Away,D 1–1,Tottenham,Southampton,Y,FW,90,1,0,0,0,3,1,0,0,2,2,3,2,0,2,0,,
2020-02-05,Fourth round,Home,W 3–2,Tottenham,Southampton,Y,FW,90,1,0,1,1,2,1,0,0,0,3,1,7,1,0,0,,
