Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att
2020-01-25,FA Cup,Fourth round,Away,D 1–1,Tottenham,Southampton,Y,FW,90,1,0,0,0,3,1,0,0,,,,2,,,,,,,,,,,,,,
2020-02-02,Premier League,Matchweek 25,Home,W 2–0,Tottenham,Manchester City,Y,RWLW,90,1,0,0,0,2,2,0,0,38,16,1,2,0,0.2,0.2,0.0,0,0,15,24,62.5,71,26,203,0,1
2020-02-05,FA Cup,Fourth round,Home,W 3–2,Tottenham,Southampton,Y,FW,90,1,0,1,1,2,1,0,0,,,,0,,,,,,,,,,,,,,
2020-02-16,Premier League,Matchweek 26,Away,W 3–2,Tottenham,Aston Villa,Y,FW,90,2,0,0,1,6,5,0,0,45,24,0,0,3,1.8,1.0,0.3,4,1,14,23,60.9,43,24,130,2,4
2020-06-19,Premier League,Matchweek 30,Home,D 1–1,Tottenham,Manchester Utd,Y,LW,90,0,0,0,0,4,2,0,0,57,23,2,2,5,0.1,0.1,0.1,1,0,26,36,72.2,156,33,74,1,2
2020-06-23,Premier League,Matchweek 31,Home,W 2–0,Tottenham,West Ham,Y,LW,85,0,1,0,0,0,0,0,0,55,10,0,0,3,0.0,0.0,0.6,4,1,40,45,88.9,186,39,164,1,1
2020-07-02,Premier League,Matchweek 32,Away,L 1–3,Tottenham,Sheffield Utd,Y,LWWB,90,0,1,0,0,0,0,0,0,45,14,0,1,1,0.0,0.0,0.7,3,1,31,41,75.6,106,31,138,1,1
2020-07-06,Premier League,Matchweek 33,Home,W 1–0,Tottenham,Everton,Y,LW,77,0,0,0,0,4,2,0,0,41,14,0,0,0,0.2,0.2,0.1,5,0,25,34,73.5,57,23,78,2,2
2020-07-09,Premier League,Matchweek 34,Away,D 0–0,Tottenham,Bournemouth,N,LW,45,0,0,0,0,1,0,0,0,39,4,1,0,1,0.2,0.2,0.0,1,0,23,33,69.7,111,23,58,0,0
2020-07-12,Premier League,Matchweek 35,Home,W 2–1,Tottenham,Arsenal,Y,AM,89,1,1,0,0,3,2,0,0,38,27,1,0,1,0.6,0.6,0.2,4,1,19,29,65.5,80,27,133,2,3
2020-07-15,Premier League,Matchweek 36,Away,W 3–1,Tottenham,Newcastle Utd,Y,LWAM,90,1,0,0,0,2,2,0,0,45,15,1,0,0,0.1,0.1,0.0,0,0,32,39,82.1,46,33,78,1,1
2020-07-19,Premier League,Matchweek 37,Home,W 3–0,Tottenham,Leicester City,Y,LW,88,0,0,0,0,2,1,0,0,28,7,0,1,1,0.2,0.2,0.0,2,1,12,15,80.0,49,21,131,2,2
2020-07-26,Premier League,Matchweek 38,Away,D 1–1,Tottenham,Crystal Palace,Y,LW,79,0,0,0,0,1,0,0,0,50,13,3,1,2,0.0,0.0,0.0,2,0,24,33,72.7,74,41,120,3,6
