Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0
2019-11-23,13,Away,W 3–2,Tottenham,West Ham,1,LW,90,1,1,0,0,3,2,0,0,38,14,2,0,0,0.2,0.2,0.8,5,2,22,27,81.5,110,30,181,2,3,W,3,3,2,0
2019-11-30,14,Home,W 3–2,Tottenham,Bournemouth,1,LW,87,0,2,0,0,2,0,0,0,39,31,5,0,2,0.2,0.2,1.7,4,2,25,27,92.6,139,29,157,0,0,W,3,3,2,1
2019-12-04,15,Away,L 1–2,Tottenham,Manchester Utd,1,LW,90,0,0,0,0,1,0,0,0,52,19,0,0,3,0.1,0.1,0.0,2,0,36,44,81.8,118,41,168,7,8,L,0,1,2,0
2019-12-07,16,Home,W 5–0,Tottenham,Burnley,1,LW,90,1,1,0,0,3,2,0,0,46,14,0,1,0,0.7,0.7,0.5,8,4,24,31,77.4,157,34,329,5,7,W,3,5,0,1
2019-12-15,17,Away,W 2–1,Tottenham,Wolves,1,LW,89,0,0,0,0,1,1,0,0,35,19,1,0,0,0.2,0.2,0.0,1,0,21,25,84.0,97,30,96,3,3,W,3,2,1,0
2019-12-22,18,Home,L 0–2,Tottenham,Chelsea,1,LWAM,61,0,0,0,0,1,0,0,1,22,20,0,0,1,0.1,0.1,0.0,0,0,13,19,68.4,23,14,29,0,0,L,0,0,2,1
2020-01-11,22,Home,L 0–1,Tottenham,Liverpool,1,LM,90,0,0,0,0,4,1,0,0,26,19,2,1,0,0.4,0.4,0.0,4,0,15,16,93.8,68,20,155,1,3,L,0,0,1,1
2020-01-18,23,Away,D 0–0,Tottenham,Watford,1,LW,90,0,0,0,0,4,2,0,0,43,26,0,0,0,0.2,0.2,0.3,5,0,30,33,90.9,109,41,170,5,7,D,1,0,0,0
2020-01-22,24,Home,W 2–1,Tottenham,Norwich City,1,LWFW,90,1,0,0,0,5,1,0,0,48,32,0,1,0,1.0,1.0,0.0,1,1,24,31,77.4,54,33,116,0,2,W,3,2,1,1
2020-02-02,25,Home,W 2–0,Tottenham,Manchester City,1,RWLW,90,1,0,0,0,2,2,0,0,38,16,1,2,0,0.2,0.2,0.0,0,0,15,24,62.5,71,26,203,0,1,W,3,2,0,1
2020-02-16,26,Away,W 3–2,Tottenham,Aston Villa,1,FW,90,2,0,0,1,6,5,0,0,45,24,0,0,3,1.8,1.0,0.3,4,1,14,23,60.9,43,24,130,2,4,W,3,3,2,0
2020-06-19,30,Home,D 1–1,Tottenham,Manchester Utd,1,LW,90,0,0,0,0,4,2,0,0,57,23,2,2,5,0.1,0.1,0.1,1,0,26,36,72.2,156,33,74,1,2,D,1,1,1,1
2020-06-23,31,Home,W 2–0,Tottenham,West Ham,1,LW,85,0,1,0,0,0,0,0,0,55,10,0,0,3,0.0,0.0,0.6,4,1,40,45,88.9,186,39,164,1,1,W,3,2,0,1
2020-07-02,32,Away,L 1–3,Tottenham,Sheffield Utd,1,LWWB,90,0,1,0,0,0,0,0,0,45,14,0,1,1,0.0,0.0,0.7,3,1,31,41,75.6,106,31,138,1,1,L,0,1,3,0
2020-07-06,33,Home,W 1–0,Tottenham,Everton,1,LW,77,0,0,0,0,4,2,0,0,41,14,0,0,0,0.2,0.2,0.1,5,0,25,34,73.5,57,23,78,2,2,W,3,1,0,1
2020-07-09,34,Away,D 0–0,Tottenham,Bournemouth,0,LW,45,0,0,0,0,1,0,0,0,39,4,1,0,1,0.2,0.2,0.0,1,0,23,33,69.7,111,23,58,0,0,D,1,0,0,0
2020-07-12,35,Home,W 2–1,Tottenham,Arsenal,1,AM,89,1,1,0,0,3,2,0,0,38,27,1,0,1,0.6,0.6,0.2,4,1,19,29,65.5,80,27,133,2,3,W,3,2,1,1
2020-07-15,36,Away,W 3–1,Tottenham,Newcastle Utd,1,LWAM,90,1,0,0,0,2,2,0,0,45,15,1,0,0,0.1,0.1,0.0,0,0,32,39,82.1,46,33,78,1,1,W,3,3,1,0
2020-07-19,37,Home,W 3–0,Tottenham,Leicester City,1,LW,88,0,0,0,0,2,1,0,0,28,7,0,1,1,0.2,0.2,0.0,2,1,12,15,80.0,49,21,131,2,2,W,3,3,0,1
2020-07-26,38,Away,D 1–1,Tottenham,Crystal Palace,1,LW,79,0,0,0,0,1,0,0,0,50,13,3,1,2,0.0,0.0,0.0,2,0,24,33,72.7,74,41,120,3,6,D,1,1,1,0
