Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,SonTeamResult,Points_Won,SonTeamScore,OpponentTeamScore,Home_1_Away_0
2019-08-25,3,Home,L 0–1,Tottenham,Newcastle Utd,1,LW,90,0,0,0,0,6,2,0,0,74,11,0,0,1,0.2,0.2,0.0,6,0,53,59,89.8,84,62,173,5,9,L,0,0,1,1
2019-09-01,4,Away,D 2–2,Tottenham,Arsenal,1,LWRW,78,0,0,0,0,2,2,0,0,45,23,1,1,0,0.2,0.2,0.2,5,1,21,28,75.0,96,34,191,2,4,D,1,2,2,0
2019-09-14,5,Home,W 4–0,Tottenham,Crystal Palace,1,FW,90,2,0,0,0,6,3,0,0,42,22,3,0,0,0.5,0.5,0.0,4,2,25,30,83.3,72,28,103,0,0,W,3,4,0,1
2019-09-21,6,Away,L 1–2,Tottenham,Leicester City,1,FW,90,0,1,0,0,3,1,0,0,45,17,0,0,1,0.3,0.3,0.7,5,1,28,31,90.3,93,37,113,3,7,L,0,1,2,0
2019-09-28,7,Home,W 2–1,Tottenham,Southampton,1,FW,63,0,1,0,0,1,1,0,0,34,16,3,0,1,0.0,0.0,0.3,6,2,14,20,70.0,48,36,186,6,14,W,3,2,1,1
2019-10-05,8,Away,L 0–3,Tottenham,Brighton,1,LWAMRW,72,0,0,0,0,0,0,0,0,29,27,2,1,0,0.0,0.0,0.0,1,0,15,20,75.0,32,26,83,2,5,L,0,0,3,0
2019-10-19,9,Home,D 1–1,Tottenham,Watford,0,RW,45,0,0,0,0,1,1,0,0,34,7,0,0,0,0.1,0.1,0.0,1,0,22,25,88.0,74,29,158,1,3,D,1,1,1,1
2019-10-27,10,Away,L 1–2,Tottenham,Liverpool,1,LW,90,0,0,0,0,5,1,0,0,40,28,4,1,0,0.5,0.5,0.0,3,1,17,21,81.0,67,30,151,2,4,L,0,1,2,0
2019-11-03,11,Away,D 1–1,Tottenham,Everton,1,RWFW,78,0,1,0,0,1,0,0,1,20,14,0,0,1,0.0,0.0,0.2,1,1,12,13,92.3,37,18,103,2,5,D,1,1,1,0
2019-11-09,12,Home,D 1–1,Tottenham,Sheffield Utd,1,LWAM,90,1,0,0,0,7,3,0,0,48,18,1,0,1,0.5,0.5,0.2,8,0,27,30,90.0,90,43,114,6,9,D,1,1,1,1
