Season,Age,MP,Starts,Gls,Ast,Gls_CumSum,Ast_CumSum,GI_CumSum
2010-2011,24,14,14,2,0,2,0,2
2011-2012,25,26,18,7,0,9,0,9
2012-2013,26,34,17,3,1,12,1,13
2013-2014,27,33,31,15,1,27,2,29
2014-2015,28,33,32,13,3,40,5,45
2015-2016,29,39,29,6,0,46,5,51
2016-2017,30,41,30,6,1,52,6,58
2017-2018,31,32,18,7,3,59,9,68
2018-2019,32,26,1,1,1,60,10,70
2019-2020,33,37,26,12,0,72,10,82
2020-2021,34,25,15,1,1,73,11,84
