Season,Age,MP,Starts,Gls,Ast,Gls_CumSum,Ast_CumSum,GI_CumSum
2007-2008,21,14,12,2,1,2,1,3
2008-2009,22,36,35,16,5,18,6,24
2009-2010,23,50,45,11,12,29,18,47
2010-2011,24,7,6,1,2,30,20,50
2011-2012,25,26,22,7,5,37,25,62
2012-2013,26,23,21,7,6,44,31,75
2013-2014,27,38,35,4,6,48,37,85
2014-2015,28,30,26,6,4,54,41,95
2015-2016,29,37,29,2,6,56,47,103
2016-2017,30,9,2,1,0,57,47,104
2017-2018,31,29,23,10,5,67,52,119
2018-2019,32,18,16,7,5,74,57,131
2019-2020,33,22,18,2,0,76,57,133
