Season,Age,MP,Starts,Gls,Ast,Gls_CumSum,Ast_CumSum,GI_CumSum
1998-1999,21,33,33,10,8.0,10,8.0,18.0
1999-2000,22,15,15,2,0,12,8,20.0
1999-2000,22,17,17,3,0,15,8,23.0
2000-2001,23,22,10,3,3.0,18,11.0,29.0
2001-2002,24,30,22,2,3.0,20,14.0,34.0
2002-2003,25,35,32,4,6.0,24,20.0,44.0
2003-2004,26,32,25,3,4.0,27,24.0,51.0
2004-2005,27,20,14,0,3.0,27,27.0,54.0
2005-2006,28,27,19,1,2.0,28,29.0,57.0
