Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2021-01-25,Fourth round,Away,W 4–1,Tottenham,Wycombe,N,,23,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,,
2021-02-10,Fifth round,Away,L 4–5,Tottenham,Everton,Y,FW,120,0,2,0,0,5,2,0,0,0,2,0,19,0,1,0,,
