Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2015-09-17,Group stage,Home,W 3–1,Tottenham,az Qarabağ FK,Y,FW,68,2,0,0,0,5,3,0,0,0,0,1,1,1,2,0,0,0
2015-11-05,Group stage,Home,W 2–1,Tottenham,Anderlecht,N,,32,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2015-11-26,Group stage,Away,W 1–0,Tottenham,Qarabağ FK,Y,AM,80,0,1,0,0,4,1,0,0,1,0,2,0,2,0,0,0,0
2015-12-10,Group stage,Home,W 4–1,Tottenham,Monaco,Y,FW,90,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0
2016-02-18,Round of 32,Away,D 1–1,Tottenham,Fiorentina,Y,FW,68,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0
2016-03-10,Round of 16,Away,L 0–3,Tottenham,Dortmund,Y,AM,76,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0
2016-03-17,Round of 16,Home,L 1–2,Tottenham,Dortmund,Y,AM,90,1,0,0,0,2,1,0,0,2,0,2,0,2,0,0,0,0
