Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2015-09-13,Premier League,Matchweek 5,Away,W 1–0,Tottenham,Sunderland,Y,AM,62,0,0,0,0,2,0,0,0,1,1,0,5,1,1,0,,
2015-09-17,Europa Lg,Group stage,Home,W 3–1,Tottenham,Qarabağ FK,Y,FW,68,2,0,0,0,5,3,0,0,0,0,1,1,1,2,0,0,0
2015-09-20,Premier League,Matchweek 6,Home,W 1–0,Tottenham,Crystal Palace,Y,AM,79,1,0,0,0,5,2,0,0,1,1,1,0,3,1,0,,
2015-09-23,League Cup,Third round,Home,L 1–2,Tottenham,Arsenal,N,,24,0,0,0,0,,,0,0,,,,,,,0,,
2015-09-26,Premier League,Matchweek 7,Home,W 4–1,Tottenham,Manchester City,Y,AM,77,0,0,0,0,2,2,0,0,0,1,3,1,2,2,0,,
2015-11-05,Europa Lg,Group stage,Home,W 2–1,Tottenham,Anderlecht,N,,32,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
2015-11-08,Premier League,Matchweek 12,Away,D 1–1,Tottenham,Arsenal,N,,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
2015-11-22,Premier League,Matchweek 13,Home,W 4–1,Tottenham,West Ham,Y,AM,85,0,1,0,0,3,2,0,0,0,0,1,0,4,1,0,,
2015-11-26,Europa Lg,Group stage,Away,W 1–0,Tottenham,Qarabağ FK,Y,AM,80,0,1,0,0,4,1,0,0,1,0,2,0,2,0,0,0,0
2015-11-29,Premier League,Matchweek 14,Home,D 0–0,Tottenham,Chelsea,Y,AM,75,0,0,0,0,4,2,0,0,1,2,1,1,0,1,0,,
2015-12-05,Premier League,Matchweek 15,Away,D 1–1,Tottenham,West Brom,N,,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2015-12-10,Europa Lg,Group stage,Home,W 4–1,Tottenham,Monaco,Y,FW,90,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0
