Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2015-12-13,Premier League,Matchweek 16,Home,L 1–2,Tottenham,Newcastle Utd,N,,21,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,,
2015-12-19,Premier League,Matchweek 17,Away,W 2–0,Tottenham,Southampton,N,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2015-12-26,Premier League,Matchweek 18,Home,W 3–0,Tottenham,Norwich City,N,,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,
2015-12-28,Premier League,Matchweek 19,Away,W 2–1,Tottenham,Watford,N,,22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
2016-01-03,Premier League,Matchweek 20,Away,D 1–1,Tottenham,Everton,N,,21,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,,
2016-01-10,FA Cup,Third round,Home,D 2–2,Tottenham,Leicester City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2016-01-13,Premier League,Matchweek 21,Home,L 0–1,Tottenham,Leicester City,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-01-16,Premier League,Matchweek 22,Home,W 4–1,Tottenham,Sunderland,N,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-01-20,FA Cup,Third round,Away,W 2–0,Tottenham,Leicester City,Y,,82,1,1,0,0,,,0,0,,,,,,,0,,
2016-01-23,Premier League,Matchweek 23,Away,W 3–1,Tottenham,Crystal Palace,Y,AM,90,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0,,
2016-01-30,FA Cup,Fourth round,Away,W 4–1,Tottenham,Colchester Utd,N,,23,0,0,0,0,,,0,0,,,,,,,0,,
2016-02-02,Premier League,Matchweek 24,Away,W 3–0,Tottenham,Norwich City,Y,AM,70,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,,
2016-02-06,Premier League,Matchweek 25,Home,W 1–0,Tottenham,Watford,N,,18,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,,
2016-02-14,Premier League,Matchweek 26,Away,W 2–1,Tottenham,Manchester City,Y,AM,72,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,,
2016-02-18,Europa Lg,Round of 32,Away,D 1–1,Tottenham,Fiorentina,Y,FW,68,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0
2016-02-21,FA Cup,Fifth round,Home,L 0–1,Tottenham,Crystal Palace,Y,,66,0,0,0,0,,,0,0,,,,,,,0,,
2016-02-25,Europa Lg,Round of 32,Home,W 3–0,Tottenham,Fiorentina,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-02-28,Premier League,Matchweek 27,Home,W 2–1,Tottenham,Swansea City,Y,AM,75,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,,
2016-03-02,Premier League,Matchweek 28,Away,L 0–1,Tottenham,West Ham,N,,20,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,
2016-03-05,Premier League,Matchweek 29,Home,D 2–2,Tottenham,Arsenal,N,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-03-10,Europa Lg,Round of 16,Away,L 0–3,Tottenham,Dortmund,Y,AM,76,0,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0
2016-03-13,Premier League,Matchweek 30,Away,W 2–0,Tottenham,Aston Villa,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-03-17,Europa Lg,Round of 16,Home,L 1–2,Tottenham,Dortmund,Y,AM,90,1,0,0,0,2,1,0,0,2,0,2,0,2,0,0,0,0
2016-03-20,Premier League,Matchweek 31,Home,W 3–0,Tottenham,Bournemouth,N,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m
2016-04-02,Premier League,Matchweek 32,Away,D 1–1,Tottenham,Liverpool,Y,CM,66,0,0,0,0,3,0,0,0,2,0,1,3,0,1,0,,
2016-04-10,Premier League,Matchweek 33,Home,W 3–0,Tottenham,Manchester Utd,N,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-04-18,Premier League,Matchweek 34,Away,W 4–0,Tottenham,Stoke City,N,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,
2016-04-25,Premier League,Matchweek 35,Home,D 1–1,Tottenham,West Brom,N,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2016-05-02,Premier League,Matchweek 36,Away,D 2–2,Tottenham,Chelsea,Y,AM,65,1,0,0,0,5,1,0,0,1,0,0,0,2,2,0,,
2016-05-08,Premier League,Matchweek 37,Home,L 1–2,Tottenham,Southampton,Y,AM,65,1,0,0,0,1,1,0,0,0,1,0,2,0,1,0,,
2016-05-15,Premier League,Matchweek 38,Away,L 1–5,Tottenham,Newcastle Utd,Y,FW,45,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,
