Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2016-01-10,Third round,Home,D 2–2,Tottenham,Leicester City,Y,,90,0,0,0,0,,,0,0,,,,,,,0,,
2016-01-20,Third round,Away,W 2–0,Tottenham,Leicester City,Y,,82,1,1,0,0,,,0,0,,,,,,,0,,
2016-01-30,Fourth round,Away,W 4–1,Tottenham,Colchester Utd,N,,23,0,0,0,0,,,0,0,,,,,,,0,,
2016-02-21,Fifth round,Home,L 0–1,Tottenham,Crystal Palace,Y,,66,0,0,0,0,,,0,0,,,,,,,0,,
