Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
2018-01-07,Third round,Home,W 3–0,Tottenham,AFC Wimbledon,N,,32,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,,
2018-01-27,Fourth round,Away,D 1–1,Tottenham,Newport County,N,,45,0,1,0,0,1,1,0,0,1,0,0,4,0,0,0,,
2018-02-07,Fourth round,Home,W 2–0,Tottenham,Newport County,Y,AM,60,0,1,0,0,6,1,0,0,0,0,1,4,0,0,0,,
2018-02-18,Fifth round,Away,D 2–2,Tottenham,Rochdale,Y,LW,90,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,,
2018-02-28,Fifth round,Home,W 6–1,Tottenham,Rochdale,Y,AM,66,2,1,0,0,5,4,1,0,2,0,1,0,1,0,0,,
2018-03-17,Quarter-finals,Away,W 3–0,Tottenham,Swansea City,Y,FW,90,0,0,0,0,2,0,0,0,1,0,2,1,0,0,0,,
2018-04-21,Semi-finals,Away,L 1–2,Tottenham,Manchester Utd,Y,AM,85,0,0,0,0,2,0,1,0,1,2,0,3,1,0,0,,
