Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Points_Won,Day,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Prog,Prog.1,Elo,Elo_Opp,Elo_Diff
2014-09-24,Bundesliga,5,Home,W 1–0,Leverkusen,Augsburg,1,,90,1,0,0,0,4,1,0,0,0,0,0,0,1,0,0,,,W,1.0,0.0,1.0,3.0,Wed,,,,,,,,,,,,,,,,,,,,1775,1697,78
2014-09-27,Bundesliga,6,Away,D 0–0,Leverkusen,Freiburg,1,,90,0,0,0,0,3,1,1,0,1,4,0,0,2,1,0,,,D,0.0,0.0,0.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1780,1646,134
2014-10-01,Champions League,Group stage,Home,W 3–1,Leverkusen,Benfica,1,,90,1,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776,1841,-65
2014-10-04,Bundesliga,7,Home,D 2–2,Leverkusen,Paderborn 07,1,,90,0,0,0,0,2,0,1,0,3,4,0,4,0,1,0,,,D,2.0,2.0,1.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1791,1582,209
2014-10-18,Bundesliga,8,Away,D 3–3,Leverkusen,Stuttgart,1,,90,2,1,0,0,4,3,0,0,2,1,1,4,1,0,0,,,D,3.0,3.0,0.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1784,1610,174
2014-10-22,Champions League,Group stage,Home,W 2–0,Leverkusen,Zenit,1,,90,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786,1788,-2
2014-10-25,Bundesliga,9,Home,W 1–0,Leverkusen,Schalke 04,1,,90,0,0,0,0,3,0,0,0,0,1,0,2,1,1,0,,,W,1.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1805,1807,-2
2014-11-01,Bundesliga,10,Away,L 0–1,Leverkusen,Hamburger SV,1,,70,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,,,L,0.0,1.0,0.0,0.0,Sat,,,,,,,,,,,,,,,,,,,,1812,1601,211
2014-11-04,Champions League,Group stage,Away,W 2–1,Leverkusen,Zenit,1,,90,2,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1785,15
2014-11-08,Bundesliga,11,Home,D 0–0,Leverkusen,Mainz 05,1,,68,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,,,D,0.0,0.0,1.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1813,1713,100
2014-11-22,Bundesliga,12,Away,W 3–1,Leverkusen,Hannover 96,1,,90,1,0,0,0,2,1,0,0,1,1,2,0,3,2,0,,,W,3.0,1.0,0.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1808,1706,102
2014-11-26,Champions League,Group stage,Home,L 0–1,Leverkusen,Monaco,1,,59,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1810,1695,115
2014-11-29,Bundesliga,13,Home,W 5–1,Leverkusen,Köln,1,,90,0,1,0,0,4,1,0,0,2,2,0,0,1,1,0,,,W,5.0,1.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1786,1626,160
2014-12-06,Bundesliga,14,Away,L 0–1,Leverkusen,Bayern Munich,1,,62,0,0,0,0,0,0,1,0,3,0,1,0,2,0,0,,,L,0.0,1.0,0.0,0.0,Sat,,,,,,,,,,,,,,,,,,,,1793,2042,-249
2014-12-09,Champions League,Group stage,Away,D 0–0,Leverkusen,Benfica,0,,19,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1791,1825,-34
2014-12-14,Bundesliga,15,Home,D 1–1,Leverkusen,M'Gladbach,1,,57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,D,1.0,1.0,1.0,1.0,Sun,,,,,,,,,,,,,,,,,,,,1799,1769,30
2014-12-17,Bundesliga,16,Away,W 1–0,Leverkusen,Hoffenheim,1,,90,0,0,0,0,4,2,0,0,1,0,0,2,2,2,0,,,W,1.0,0.0,0.0,3.0,Wed,,,,,,,,,,,,,,,,,,,,1797,1705,92
2014-12-20,Bundesliga,17,Home,D 1–1,Leverkusen,Eint Frankfurt,1,,75,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,D,1.0,1.0,1.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1804,1678,126
2015-02-08,Bundesliga,20,Away,L 1–2,Leverkusen,Werder Bremen,0,,45,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,,,L,1.0,2.0,0.0,0.0,Sun,,,,,,,,,,,,,,,,,,,,1802,1651,151
2015-02-14,Bundesliga,21,Home,L 4–5,Leverkusen,Wolfsburg,1,,90,3,0,0,0,5,3,0,0,1,0,0,4,1,0,0,,,L,4.0,5.0,1.0,0.0,Sat,,,,,,,,,,,,,,,,,,,,1792,1833,-41
2015-02-21,Bundesliga,22,Away,D 2–2,Leverkusen,Augsburg,1,,74,0,0,0,0,3,1,0,0,1,1,0,0,2,1,0,,,D,2.0,2.0,0.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1783,1725,58
2015-02-25,Champions League,Round of 16,Home,W 1–0,Leverkusen,Atlético Madrid,1,,90,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782,1971,-189
2015-02-28,Bundesliga,23,Home,W 1–0,Leverkusen,Freiburg,1,,90,0,0,0,0,3,2,0,0,1,2,0,1,3,0,0,,,W,1.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1789,1653,136
2015-03-08,Bundesliga,24,Away,W 3–0,Leverkusen,Paderborn 07,1,,90,2,0,0,0,3,2,0,0,0,1,1,6,0,2,0,,,W,3.0,0.0,0.0,3.0,Sun,,,,,,,,,,,,,,,,,,,,1792,1580,212
2015-03-13,Bundesliga,25,Home,W 4–0,Leverkusen,Stuttgart,1,,90,0,0,0,0,1,1,0,0,2,2,2,0,0,0,0,,,W,4.0,0.0,1.0,3.0,Fri,,,,,,,,,,,,,,,,,,,,1803,1611,192
2015-03-17,Champions League,Round of 16,Away,L 0 (2)–1 (3),Leverkusen,Atlético Madrid,1,,77,0,0.0,0,0.0,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809,1950,-141
2015-03-21,Bundesliga,26,Away,W 1–0,Leverkusen,Schalke 04,1,,45,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,,,W,1.0,0.0,0.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1806,1766,40
2015-04-04,Bundesliga,27,Home,W 4–0,Leverkusen,Hamburger SV,0,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,On m,W,4.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1814,1603,211
2015-04-11,Bundesliga,28,Away,W 3–2,Leverkusen,Mainz 05,1,,90,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,,,W,3.0,2.0,0.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1819,1690,129
2015-04-18,Bundesliga,29,Home,W 4–0,Leverkusen,Hannover 96,1,,90,0,0,0,0,1,1,0,0,2,3,0,0,1,2,0,,,W,4.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1814,1627,187
2015-04-25,Bundesliga,30,Away,D 1–1,Leverkusen,Köln,1,,54,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,,,D,1.0,1.0,0.0,1.0,Sat,,,,,,,,,,,,,,,,,,,,1826,1642,184
2015-05-02,Bundesliga,31,Home,W 2–0,Leverkusen,Bayern Munich,1,,90,0,0,0,0,4,1,0,0,3,3,0,0,3,1,0,,,W,2.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1822,2038,-216
2015-05-09,Bundesliga,32,Away,L 0–3,Leverkusen,M'Gladbach,1,,90,0,0,0,0,3,1,0,0,0,1,0,0,2,1,0,,,L,0.0,3.0,0.0,0.0,Sat,,,,,,,,,,,,,,,,,,,,1835,1812,23
2015-05-16,Bundesliga,33,Home,W 2–0,Leverkusen,Hoffenheim,1,,60,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,,,W,2.0,0.0,1.0,3.0,Sat,,,,,,,,,,,,,,,,,,,,1823,1669,154
