Date,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,SonTeamResult,SonTeamScore,OpponentTeamScore,Home_1_Away_0,Points_Won,Day,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1,Prog,Prog.1,Elo,Elo_Opp,Elo_Diff
2012-01-28,Bundesliga,19,Away,W 2â€“1,Hamburger SV,Hertha BSC,0,,1,0,,0,,,,0,0,,,,,,,0,,,W,2.0,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1672,1675,-3
2012-02-04,Bundesliga,20,Home,D 1â€“1,Hamburger SV,Bayern Munich,0,,19,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1682,1885,-203
2012-02-12,Bundesliga,21,Away,W 1â€“0,Hamburger SV,KÃ¶ln,0,,1,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1685,1651,34
2012-02-18,Bundesliga,22,Home,L 1â€“3,Hamburger SV,Werder Bremen,0,,19,0,,0,,,,0,0,,,,,,,0,,,L,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1694,1720,-26
2012-02-24,Bundesliga,23,Away,D 1â€“1,Hamburger SV,M'Gladbach,0,,7,0,,0,,,,0,0,,,,,,,0,,,D,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1683,1775,-92
2012-03-03,Bundesliga,24,Home,L 0â€“4,Hamburger SV,Stuttgart,0,,44,0,,0,,,,0,0,,,,,,,0,,,L,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1688,1705,-17
2012-03-11,Bundesliga,25,Away,L 1â€“3,Hamburger SV,Schalke 04,0,,31,0,,0,,,,0,0,,,,,,,0,,,L,1.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1668,1778,-110
2012-03-17,Bundesliga,26,Home,L 1â€“3,Hamburger SV,Freiburg,0,,44,0,,0,,,,0,0,,,,,,,0,,,L,1.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1677,1625,52
2012-03-23,Bundesliga,27,Away,L 1â€“2,Hamburger SV,Wolfsburg,0,,14,0,,0,,,,0,0,,,,,,,0,,,L,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1661,1697,-36
2012-03-31,Bundesliga,28,Away,W 1â€“0,Hamburger SV,Kaiserslautern,0,,10,0,,0,,,,0,0,,,,,,,0,,,W,1.0,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1651,1616,35
