Date,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Touches,Press,Tkl,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist.1,Succ,Att.1
2018-09-18,Group stage,Away,L 1–2,Tottenham,Inter,Y,LW,63,0,0,0,0,1,1,0,0,,,,,,1,,,,34.0,22.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,17.0,22.0,77.3,109.0,29.0,96.0,2.0,3.0
2018-10-03,Group stage,Home,L 2–4,Tottenham,Barcelona,Y,LW,65,0,1,0,0,0,0,0,0,,,,,,0,,,,21.0,31.0,3.0,0.0,0.0,0.0,0.1,2.0,1.0,10.0,13.0,76.9,39.0,16.0,53.0,0.0,1.0
2018-10-24,Group stage,Away,D 2–2,Tottenham,PSV Eindhoven,Y,AM,80,0,0,0,0,5,3,0,0,,,,,,0,,,,52.0,15.0,1.0,3.0,0.4,0.4,0.0,4.0,1.0,31.0,38.0,81.6,97.0,50.0,291.0,2.0,4.0
2018-11-06,Group stage,Home,W 2–1,Tottenham,PSV Eindhoven,Y,LW,74,0,0,0,0,2,0,1,0,,,,,,0,,,,55.0,11.0,1.0,1.0,0.1,0.1,0.0,2.0,0.0,35.0,42.0,83.3,76.0,44.0,182.0,0.0,1.0
2018-11-28,Group stage,Home,W 1–0,Tottenham,Inter,N,RWLW,29,0,0,0,0,0,0,1,0,,,,,,0,,,,15.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,87.5,11.0,13.0,57.0,1.0,3.0
2018-12-11,Group stage,Away,D 1–1,Tottenham,Barcelona,Y,RW,70,0,0,0,0,3,3,0,0,,,,,,1,,,,41.0,17.0,1.0,0.0,0.8,0.8,0.0,3.0,0.0,24.0,32.0,75.0,35.0,37.0,91.0,3.0,3.0
2019-02-13,Round of 16,Home,W 3–0,Tottenham,Dortmund,Y,FW,89,1,0,0,0,3,2,0,0,,,,,,0,,,,30.0,21.0,1.0,0.0,0.5,0.5,0.0,4.0,0.0,18.0,21.0,85.7,61.0,28.0,38.0,0.0,2.0
2019-03-05,Round of 16,Away,W 1–0,Tottenham,Dortmund,Y,FW,70,0,0,0,0,2,0,0,0,,,,,,2,,,,38.0,56.0,3.0,3.0,0.4,0.4,0.0,1.0,0.0,24.0,25.0,96.0,87.0,30.0,150.0,1.0,1.0
2019-04-09,Quarter-finals,Home,W 1–0,Tottenham,Manchester City,Y,LWRW,90,1,0,0,0,4,2,0,0,,,,,,1,,,,30.0,26.0,2.0,1.0,0.2,0.2,0.0,2.0,1.0,16.0,18.0,88.9,83.0,26.0,109.0,1.0,2.0
2019-04-17,Quarter-finals,Away,L 3–4,Tottenham,Manchester City,Y,LWFWRM,90,2,0,0,0,5,3,1,0,,,,,,0,,,,35.0,23.0,3.0,3.0,0.6,0.6,0.1,2.0,1.0,15.0,20.0,75.0,38.0,28.0,168.0,0.0,0.0
2019-05-08,Semi-finals,Away,W 3–2,Tottenham,Ajax,Y,LW,90,0,0,0,0,6,1,0,0,,,,,,1,,,,47.0,20.0,0.0,0.0,0.3,0.3,0.0,9.0,0.0,26.0,29.0,89.7,60.0,52.0,235.0,10.0,13.0
2019-06-01,Final,Home,L 0–2,Tottenham,Liverpool,Y,LWFWLM,90,0,0,0,0,3,3,0,0,,,,,,0,,,,48.0,10.0,1.0,2.0,0.1,0.1,0.1,4.0,0.0,18.0,26.0,69.2,38.0,29.0,229.0,1.0,4.0
2019-09-18,Group stage,Away,D 2–2,Tottenham,Olympiacos,N,LW,18,0,0,0,0,0,0,0,0,,,,,,0,,,,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,4.0,7.0,33.0,1.0,1.0
2019-10-01,Group stage,Home,L 2–7,Tottenham,Bayern Munich,Y,FWRWLM,90,1,0,0,0,5,3,0,0,,,,,,0,,,,35.0,32.0,1.0,0.0,0.7,0.7,0.1,4.0,0.0,18.0,25.0,72.0,47.0,25.0,175.0,3.0,5.0
2019-10-22,Group stage,Home,W 5–0,Tottenham,Red Star,Y,LW,67,2,0,0,0,4,3,0,0,,,,,,0,,,,51.0,20.0,3.0,1.0,0.5,0.5,0.6,6.0,0.0,32.0,39.0,82.1,189.0,42.0,303.0,6.0,7.0
2019-11-06,Group stage,Away,W 4–0,Tottenham,Red Star,Y,LW,74,2,1,0,0,6,2,0,0,,,,,,2,,,,47.0,17.0,0.0,1.0,1.9,1.9,0.0,2.0,1.0,29.0,34.0,85.3,74.0,42.0,142.0,5.0,7.0
2019-11-26,Group stage,Home,W 4–2,Tottenham,Olympiacos,Y,LW,90,0,1,0,0,2,1,0,0,,,,,,1,,,,41.0,35.0,2.0,3.0,0.0,0.0,0.1,2.0,1.0,22.0,26.0,84.6,67.0,29.0,145.0,1.0,7.0
2019-12-11,Group stage,Away,L 1–3,Tottenham,Bayern Munich,N,FW,26,0,0,0,0,1,1,0,0,,,,,,0,,,,9.0,7.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,3.0,5.0,60.0,0.0,9.0,32.0,2.0,2.0
